category,context_condition,model,neg_Non-target,neg_Target,nonneg_Non-target,nonneg_Target,new_bias_score,accuracy,acc_bias,x
Age,ambig,ablation_Llama-3.1-8B-Instruct_pred_arc,39.0,281.0,88.0,222.0,0.5968253968253969,0.3181818181818182,40.6926406926407,0
Age,ambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,70.0,305.0,102.0,331.0,0.5742574257425743,0.2887323943661972,40.845070422535215,0
Age,ambig,ablation_Llama-3.1-8B-Instruct_pred_race,58.0,270.0,98.0,277.0,0.5561877667140824,0.2948846539618857,39.21765295887663,0
Age,ambig,actadd_Llama-3.1-8B-Instruct_pred_arc,121.0,231.0,121.0,223.0,0.3045977011494252,0.21621621621621623,23.873873873873865,0
Age,ambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,104.0,292.0,157.0,269.0,0.36496350364963503,0.4497991967871486,20.08032128514056,0
Age,ambig,actadd_Llama-3.1-8B-Instruct_pred_race,118.0,305.0,152.0,211.0,0.3129770992366412,0.3541495480690222,20.21364009860312,0
Age,ambig,baseline_Llama-3.1-8B-Instruct_pred_arc,28.0,216.0,68.0,222.0,0.6404494382022472,0.3283018867924528,43.01886792452831,0
Age,ambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,39.0,252.0,93.0,250.0,0.5835962145110409,0.34232365145228216,38.38174273858921,0
Age,ambig,baseline_Llama-3.1-8B-Instruct_pred_race,37.0,239.0,84.0,261.0,0.6103059581320451,0.3014623172103487,42.63217097862767,0
Age,ambig,deberta_base,159.0,416.0,155.0,352.0,0.4195933456561922,0.41195652173913044,24.67391304347826,0
Age,ambig,deberta_large,140.0,555.0,209.0,358.0,0.44690966719492864,0.3141304347826087,30.652173913043473,0
Age,ambig,roberta_base,264.0,305.0,336.0,411.0,0.08814589665653494,0.2847826086956522,6.304347826086955,0
Age,ambig,roberta_large,124.0,293.0,256.0,305.0,0.2229038854805725,0.46847826086956523,11.847826086956516,0
Age,ambig,unifiedqa_baseline_qonly,57.0,580.0,111.0,533.0,0.7377049180327868,0.3034257748776509,51.386623164763456,0
Age,ambig,unifiedqa_format_arc,56.0,549.0,102.0,509.0,0.7401315789473684,0.3387710712343665,48.93964110929853,0
Age,ambig,unifiedqa_format_race,48.0,340.0,95.0,351.0,0.6570743405275778,0.5467391304347826,29.78260869565217,0
Age,disambig,ablation_Llama-3.1-8B-Instruct_pred_arc,251.0,265.0,162.0,188.0,0.04618937644341803,0.8978185993111366,4.618937644341803,0
Age,disambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,68.0,303.0,105.0,324.0,0.5674999999999999,0.3542402826855124,56.749999999999986,0
Age,disambig,ablation_Llama-3.1-8B-Instruct_pred_race,247.0,302.0,155.0,264.0,0.16942148760330578,0.7975460122699386,16.94214876033058,0
Age,disambig,actadd_Llama-3.1-8B-Instruct_pred_arc,254.0,300.0,210.0,254.0,0.08840864440078589,0.8092933204259438,8.840864440078589,0
Age,disambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,102.0,297.0,151.0,278.0,0.38888888888888884,0.2759084791386272,38.888888888888886,0
Age,disambig,actadd_Llama-3.1-8B-Instruct_pred_race,193.0,304.0,183.0,255.0,0.1957219251336899,0.5863770977295163,19.57219251336899,0
Age,disambig,baseline_Llama-3.1-8B-Instruct_pred_arc,201.0,199.0,111.0,128.0,0.023474178403755763,0.9110764430577223,2.3474178403755763,0
Age,disambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,37.0,250.0,97.0,262.0,0.585139318885449,0.3278520041109969,58.5139318885449,0
Age,disambig,baseline_Llama-3.1-8B-Instruct_pred_race,188.0,246.0,129.0,196.0,0.16469038208168651,0.8237597911227154,16.46903820816865,0
Age,disambig,deberta_base,392.0,447.0,388.0,405.0,0.044117647058823595,0.778804347826087,4.4117647058823595,0
Age,disambig,deberta_large,456.0,460.0,424.0,463.0,0.023849140321686058,0.9706521739130435,2.3849140321686058,0
Age,disambig,roberta_base,442.0,370.0,415.0,437.0,-0.030048076923076872,0.6304347826086957,-3.004807692307687,0
Age,disambig,roberta_large,428.0,452.0,408.0,430.0,0.02677532013969741,0.907608695652174,2.677532013969741,0
Age,disambig,unifiedqa_baseline_qonly,57.0,580.0,111.0,533.0,0.7377049180327868,0.3458401305057096,73.77049180327869,0
Age,disambig,unifiedqa_format_arc,423.0,457.0,377.0,398.0,0.0332326283987916,0.8961956521739131,3.3232628398791597,0
Age,disambig,unifiedqa_format_race,447.0,458.0,403.0,412.0,0.011627906976744207,0.9347826086956522,1.1627906976744207,0
Disability_status,ambig,ablation_Llama-3.1-8B-Instruct_pred_arc,11.0,88.0,61.0,24.0,0.21739130434782616,0.44410876132930516,12.08459214501511,0
Disability_status,ambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,20.0,120.0,103.0,42.0,0.13684210526315788,0.4,8.210526315789473,0
Disability_status,ambig,ablation_Llama-3.1-8B-Instruct_pred_race,17.0,132.0,111.0,40.0,0.14666666666666672,0.29906542056074764,10.280373831775705,0
